timestamp,user,action,resource,status,ip_address,label
2025-06-26 10:15:34.215874,user4,edit,data.csv,success,192.168.1.2,0
2025-06-26 18:40:08.215874,user1,login,file1.txt,success,10.0.0.1,0
2025-06-26 19:04:29.215874,user2,login,report.pdf,success,192.168.1.2,0
2025-06-26 19:45:03.215874,user2,view,data.csv,success,192.168.1.2,0
2025-06-26 10:24:54.215874,hacker1,unauthorized_access,admin.db,fail,222.13.5.66,1
2025-06-26 12:51:48.215874,unknown,unauthorized_access,secret.docx,denied,222.13.5.66,1
2025-06-26 11:27:15.215874,intruder,unauthorized_access,secret.docx,denied,123.45.67.89,1
2025-06-26 12:33:26.215874,user4,view,file1.txt,success,192.168.1.1,0
2025-06-26 14:02:40.215874,intruder,shutdown,admin.db,denied,222.13.5.66,1
2025-06-26 17:15:23.215874,user5,view,data.csv,success,192.168.1.1,0
2025-06-26 13:49:08.215874,user5,login,file1.txt,success,192.168.1.1,0
2025-06-26 18:36:09.215874,user1,view,file1.txt,success,192.168.1.2,0
2025-06-26 10:40:24.215874,user1,edit,report.pdf,success,192.168.1.1,0
2025-06-26 15:59:27.215874,unknown,unauthorized_access,secret.docx,fail,123.45.67.89,1
2025-06-26 15:35:08.215874,user3,edit,data.csv,success,192.168.1.1,0
2025-06-26 15:22:07.215874,unknown,delete,secret.docx,fail,222.13.5.66,1
2025-06-26 21:14:39.215874,user1,view,file1.txt,success,192.168.1.2,0
2025-06-26 15:11:21.215874,user2,view,report.pdf,success,192.168.1.1,0
2025-06-26 20:22:02.215874,hacker1,shutdown,secret.docx,fail,222.13.5.66,1
2025-06-26 15:35:13.215874,user1,view,report.pdf,success,192.168.1.1,0
2025-06-26 16:41:28.215874,user1,view,file1.txt,success,10.0.0.1,0
2025-06-26 10:56:46.215874,user3,view,data.csv,success,10.0.0.1,0
2025-06-26 12:48:52.215874,unknown,delete,root.cfg,fail,123.45.67.89,1
2025-06-26 12:39:56.215874,user1,view,report.pdf,success,192.168.1.1,0
2025-06-26 13:16:11.215874,user2,login,report.pdf,success,192.168.1.2,0
2025-06-26 18:44:07.215874,user4,view,file1.txt,success,192.168.1.2,0
2025-06-26 15:38:12.215874,unknown,delete,admin.db,denied,172.16.254.1,1
2025-06-26 10:50:24.215874,intruder,shutdown,root.cfg,denied,222.13.5.66,1
2025-06-26 18:14:50.215874,user2,view,data.csv,success,10.0.0.1,0
2025-06-26 11:46:40.215874,user5,view,file1.txt,success,192.168.1.2,0
2025-06-26 20:34:04.215874,unknown,shutdown,secret.docx,denied,172.16.254.1,1
2025-06-26 21:28:49.215874,user5,edit,file1.txt,success,10.0.0.1,0
2025-06-26 18:27:14.215874,user2,login,file1.txt,success,10.0.0.1,0
2025-06-26 12:00:41.215874,unknown,delete,secret.docx,denied,172.16.254.1,1
2025-06-26 18:16:32.215874,hacker1,delete,secret.docx,fail,222.13.5.66,1
2025-06-26 17:41:49.215874,user2,edit,report.pdf,success,192.168.1.2,0
